id,pred_content_id,true_content_id
t_0008768bdee6,c_20cc417f7569 c_ef3f03d05a25 c_9e801e3f512e c_bfe202c1f7e4 c_34a81f6a062b c_9eb6bb2eb2db c_ce5b8dcb4a27 c_a6b536e1dce3 c_25f5ae2a130c c_a42e50045d52,c_34e1424229b4 c_7d1a964d66d5 c_aab93ee667f4
t_0008a1bd84ba,c_7ff92a954a3d c_9dc4b62b6a7d c_bc6425b43a74 c_1dd9858fec59 c_fe5f49bd4ae7 c_d90eb1b54b7e c_ea6a3e1e0fbe c_cf4199248236 c_30ac834e8e97 c_582a0ea1fe98,c_7ff92a954a3d c_8790b074383e
t_000d1fb3f2f5,c_8f302958626f c_80a7c553ffe4 c_1ec97b588bce c_6e5ae1f2bb90 c_87999ae0e6da c_3a2bf4a358da c_5e1e800a8930 c_15a6fb858696 c_1c2e804fa58a c_c756efc00e72,c_07f1d0eec4b2 c_15a6fb858696 c_175e9db3fc44 c_1c2e804fa58a c_1ec97b588bce c_247c609418f3 c_3a2bf4a358da c_451671e513d2 c_4698dc0a94dc c_4aea397ae55e c_5299d6442ed8 c_6e5ae1f2bb90 c_76a17cfb9d87 c_7868f655c31e c_7cc189e7acb0 c_94e49adc276f c_a035176449cd c_acaa5b1ab542 c_b8d730238789 c_ba964dd99e10 c_bc34d05f7f0a c_c1db2bde6960 c_d26e23e98356 c_d9087b07e2fc c_eef121f3ef45 c_feda60d7d9ee
t_00102869fbcb,c_066737fa5146 c_34bc70d326d5 c_e7daeadb242c c_f3a9784f2a47 c_f9091a48e912 c_f582158e781f c_1848d830fcbe c_c69fc19ab8f2 c_0509c1059da0 c_d2cf189bb4ac,c_005e793bd0c5 c_066737fa5146 c_08b2070f92e0 c_0a0f0cfcd01a c_0e3353b058f0 c_0eda77684335 c_0f16d374f415 c_10ca1869c758 c_10dbed87d839 c_11181d0b95aa c_115c5b863574 c_1cd9f807f8e5 c_1f20565b1381 c_222e318d6d8a c_29633da013a9 c_2cd238e941f1 c_30b3480d92f8 c_34bc70d326d5 c_3a12b23519f3 c_3a19935d0e70 c_3bc84cfa9818 c_3cf6ef1121e4 c_470dab588a4d c_48562a9fd7a5 c_4a017a7b88b1 c_5471bafde27d c_5838ba054863 c_5a3a979a3cd9 c_5bac5e027198 c_5f25b381c46a c_5f4b5200a725 c_6062d2e46506 c_60ec15e6b535 c_65e1a1125573 c_683bd6b717fa c_6a1b4e7d6de9 c_6a8228c8357e c_6aef7c2f724c c_6b9542168065 c_6f356bf86b85 c_6fee5dd33c0d c_7265b169bc76 c_738debbd624a c_7971ba5f03c4 c_7d1a59c7044d c_7e2f3739ad0a c_821fc6753fa7 c_8e29ba77df5b c_8ee98ffbb4ec c_91d5815c5c05 c_9520d0abdfe4 c_964f18665f78 c_97f7c60035ea c_a0133f95e907 c_a5545a2ff5ca c_a99a9622f854 c_b44c206ad756 c_b578b555904e c_b6819b9c64df c_b92a55cf1879 c_bebd175342f5 c_bef2c010d6f9 c_bef55777e57b c_c69fc19ab8f2 c_cef9b08c48c4 c_d2cf189bb4ac c_d32102fb335f c_d4f5b6340aa5 c_d5606463f08a c_d937c1b35bc7 c_dcf907ded334 c_def28d2e5eb0 c_df2bcd9b6fcc c_e0b33b9e6118 c_e4262edc8daf c_e7daeadb242c c_e91ac93a2ea4 c_ebde478f5297 c_ecbdf2bb815b c_ee6367296721 c_f16047c6f924 c_f32779fd55bb c_f42f83d45a20 c_f567bb93578f c_f56f6d8aef05 c_f9091a48e912 c_fbd300d2cc72
t_0012a45fa09c,c_b57a1b68b935 c_e4e7bdedea58 c_c86698bc795d c_f1e2bb4c725d c_e4ef15e65e04 c_ddb57dff4975 c_d8b6fdfe6527 c_e8f2d6c04e99 c_45bbedec4ced c_59e3b30f9dd2,c_dde078b8ea7a
t_0016d30772f3,c_f94bc6783582 c_42e64becccba c_1523ba0832ba c_3d8742d67c0a c_5599eb564a9a c_242ddc729eec c_ee261ff35843 c_e34d2ef85712 c_d8e85958f4f9 c_a1ee0fe9ade6,c_061d9f90bb06 c_242ddc729eec c_61b851222e17 c_c25053d6fafd c_ea312de91d4f
t_001bcbb22694,c_03fa7a42b3f1 c_346eb2a963f4 c_ba9ecebede11 c_88b750cf9902 c_befc28e64db7 c_0f0490824ea8 c_92a421361688 c_0390c7effdd2 c_fdb6a5a238cf c_9916932ca183,c_1d9dfc709413
t_001bd01717d7,c_843b488e2c99 c_73496f4d4a04 c_9ba64491a4ea c_5d5f0584e7f2 c_960c8f4c2075 c_8fc71975e126 c_bc79a3b03230 c_1b9d32dbbc21 c_038c4f1b325f c_a9044e68c072,c_16f1cff519b3 c_289a31069ea7 c_6f0a3cf19895 c_70b6f760bad5 c_bfd4bb44a329 c_c6941dfa5dfc
t_001c75b83927,c_470667022e30 c_6eb1c05b708a c_de35548234a4 c_f28d6b4f3ff8 c_d422b3489dfa c_849605ddfbfe c_f817aa3aeee7 c_e8e95d056a41 c_a2ebac399f44 c_c0cff229a938,c_60d8a4f8eff9
t_001edc523bd1,c_888abd6a8c12 c_a6bbfcd01008 c_2a5e6a2a4ed8 c_e30b5e8ff0a3 c_2049b296dcb7 c_f3d956ce2a3b c_d0afc21aea60 c_430c582320b2 c_d9b5f150007a c_34e4ccf31d10,c_5298b652bdf8 c_68c33f74debf c_dce3269cf0e6 c_f3d956ce2a3b
