id,pred_content_id,true_content_id
t_00004da3a1b2,c_2b6301d9ada5 c_d35077f2c3d3 c_0feaaa5dc39d c_dfa229bd21df c_e90a344489fe c_3252e4f49e93 c_ec44677122ab c_1108dd0c7a5d c_9847be21acc7 c_e1e8557d7c61,c_1108dd0c7a5d c_376c5a8eb028 c_5bc0e1e2cba0 c_76231f9d0b5e
t_00068291e9a4,c_89ce9367be10 c_0e9282e0fc8e c_f6772f4ae97f c_035baf9425e0 c_84a15727ed85 c_cf3e92df95b9 c_384a8b0cc4aa c_fb592bfd833f c_dca404cca516 c_ac1672cdcd2c,c_639ea2ef9c95 c_89ce9367be10 c_ac1672cdcd2c c_ebb7fdf10a7e
t_00069b63a70a,c_4a669623d9c2 c_74b847d4a726 c_e08d23128d8a c_2c1168874c2a c_5c38a80988a5 c_bee05b37dc3d c_2ad4556ed8ea c_7861f30ff74e c_21f28efdcf7b c_d1f02ff836c4,c_11a1dc0bfb99
t_0006d41a73a8,c_62191f77b582 c_5e375cf14c47 c_d7a0d7eaf799 c_1e23a649ef33 c_2082c667d242 c_e70a97d3154a c_b296f8d4689f c_f12187dde5bc c_e24eca6ed18a c_02f3c721722e,c_0c6473c3480d c_1c57a1316568 c_5e375cf14c47 c_b972646631cb c_d7a0d7eaf799
t_0008768bdee6,c_20cc417f7569 c_7efb95196392 c_ce5b8dcb4a27 c_b65d284857df c_563674a55312 c_b274db7d530d c_8aa8f246b0db c_acd760e6af32 c_768a10584ad7 c_894aca219ce0,c_34e1424229b4 c_7d1a964d66d5 c_aab93ee667f4
t_0008a1bd84ba,c_7ff92a954a3d c_bc6425b43a74 c_0d694b045b85 c_2d48c2202b75 c_555fed1e369b c_2d71b5cdf46f c_f6b072c6165f c_187ae1f789e3 c_6ddb1a9acadd c_aec8db1a7be8,c_7ff92a954a3d c_8790b074383e
t_000d1fb3f2f5,c_906610d0fd21 c_2e503a8496d9 c_80a7c553ffe4 c_8f302958626f c_d7b213393f30 c_85de069bfd40 c_b365379bb0ba c_9f6b28215256 c_3911781253c4 c_f441554ed88f,c_07f1d0eec4b2 c_15a6fb858696 c_175e9db3fc44 c_1c2e804fa58a c_1ec97b588bce c_247c609418f3 c_3a2bf4a358da c_451671e513d2 c_4698dc0a94dc c_4aea397ae55e c_5299d6442ed8 c_6e5ae1f2bb90 c_76a17cfb9d87 c_7868f655c31e c_7cc189e7acb0 c_94e49adc276f c_a035176449cd c_acaa5b1ab542 c_b8d730238789 c_ba964dd99e10 c_bc34d05f7f0a c_c1db2bde6960 c_d26e23e98356 c_d9087b07e2fc c_eef121f3ef45 c_feda60d7d9ee
t_000feba42136,c_304ee4f59410 c_d59718802908 c_3808981c7e43 c_9f66e515aec9 c_8514055e061e c_ea4a9fde7902 c_09f89cf7e86c c_5eb1d144ac1e c_7e59b23241e6 c_04c84d96a5ac,c_2bbc650030f4 c_304ee4f59410
t_00102869fbcb,c_2dfb993c034c c_b578b555904e c_01cddeb05281 c_005e793bd0c5 c_4a7d79d78a08 c_821fc6753fa7 c_ecbdf2bb815b c_99ea2a2714b0 c_65e1a1125573 c_c1ac3c1c33d8,c_005e793bd0c5 c_066737fa5146 c_08b2070f92e0 c_0a0f0cfcd01a c_0e3353b058f0 c_0eda77684335 c_0f16d374f415 c_10ca1869c758 c_10dbed87d839 c_11181d0b95aa c_115c5b863574 c_1cd9f807f8e5 c_1f20565b1381 c_222e318d6d8a c_29633da013a9 c_2cd238e941f1 c_30b3480d92f8 c_34bc70d326d5 c_3a12b23519f3 c_3a19935d0e70 c_3bc84cfa9818 c_3cf6ef1121e4 c_470dab588a4d c_48562a9fd7a5 c_4a017a7b88b1 c_5471bafde27d c_5838ba054863 c_5a3a979a3cd9 c_5bac5e027198 c_5f25b381c46a c_5f4b5200a725 c_6062d2e46506 c_60ec15e6b535 c_65e1a1125573 c_683bd6b717fa c_6a1b4e7d6de9 c_6a8228c8357e c_6aef7c2f724c c_6b9542168065 c_6f356bf86b85 c_6fee5dd33c0d c_7265b169bc76 c_738debbd624a c_7971ba5f03c4 c_7d1a59c7044d c_7e2f3739ad0a c_821fc6753fa7 c_8e29ba77df5b c_8ee98ffbb4ec c_91d5815c5c05 c_9520d0abdfe4 c_964f18665f78 c_97f7c60035ea c_a0133f95e907 c_a5545a2ff5ca c_a99a9622f854 c_b44c206ad756 c_b578b555904e c_b6819b9c64df c_b92a55cf1879 c_bebd175342f5 c_bef2c010d6f9 c_bef55777e57b c_c69fc19ab8f2 c_cef9b08c48c4 c_d2cf189bb4ac c_d32102fb335f c_d4f5b6340aa5 c_d5606463f08a c_d937c1b35bc7 c_dcf907ded334 c_def28d2e5eb0 c_df2bcd9b6fcc c_e0b33b9e6118 c_e4262edc8daf c_e7daeadb242c c_e91ac93a2ea4 c_ebde478f5297 c_ecbdf2bb815b c_ee6367296721 c_f16047c6f924 c_f32779fd55bb c_f42f83d45a20 c_f567bb93578f c_f56f6d8aef05 c_f9091a48e912 c_fbd300d2cc72
t_0010852b7049,c_5bde4f965753 c_07270dc1c80a c_ea3dbc4e650c c_a9d3e35ab32b c_5a6fa8ec6627 c_263b747e449e c_58131624441a c_5eca28e2cdb4 c_c7101d33ead9 c_ccd6b2522613,c_0baf72ed7e1e c_5eca28e2cdb4 c_6a5472fb1483 c_ccd6b2522613 c_d4837d0540d9
